JRR Tolkien;Priscilla Tolkien (filha JRRTolkien);Edith (Bratt) Tolkien;Michael Tolkien(filho JRR);John Francis Remel (filho JRR);Christoper Reuel Tolkien filho JRR);;
JRR Tolkien;C.S.Lewis;;;;;;
JRR Tolkien;Janie Moore;;;;;;
JRR Tolkien;C.S.Lewis;;;;;;
JRR Tolkien;G.E.K.Braunholtz;;;;;;
JRR Tolkien;R.M.Dawkins;;;;;;
JRR Tolkien;Nevill Coghil;C.S.Lewis;G.E.K.Braunholtz;R.M.Dawkins;;;
JRR Tolkien;C.S.Lewis;Edward Tangye Lean;;;;;
JRR Tolkien;Charles Williams;C.S.Lewis;;;;;
JRR Tolkien;Hugo Dyson;;;;;;
JRR Tolkien;Nevill Coghil;;;;;;
JRR Tolkien;Christopher Willians;;;;;;
JRR Tolkien;C.S.Lewis;Hugo  Dyson;;;;;
JRR Tolkien;Prof. Kilby (;C.S.Lewis;Hugo Dyson;;;;
JRR Tolkien;Christopher Tolkien (filho JRR);;;;;;
JRR Tolkien;Elaine Griffiths;;;;;;
JRR Tolkien;Michael Tolkien(filho JRR);;;;;;
JRR Tolkien;Stanley Unwin;;;;;;
JRR Tolkien;C.S.Lewis;;;;;;
JRR Tolkien;Stanley Unwin;;;;;;
JRR Tolkien;Priscilla Tolkien (filha JRRTolkien);;;;;;
JRR Tolkien;Christopher Tolkien (filho JRR);;;;;;
JRR Tolkien;Edith (Bratt) Tolkien;Priscilla Tolkien (filha JRRTolkien);Christopher Tolkien (filho JRR);;;;
JRR Tolkien;C.S.Lewis;;;;;;
JRR Tolkien;Williams;;;;;;
JRR Tolkien;Warnie ???;;;;;;
JRR Tolkien;Edward Crankshaw;;;;;;
JRR Tolkien;Charles Furth;;;;;;
JRR Tolkien;C.S.Lewis;;;;;;
JRR Tolkien;Walter Hooper;;;;;;
JRR Tolkien;Rayner Unwin (filho de Stanley);;;;;;
JRR Tolkien;Eric Gordon;;;;;;
JRR Tolkien;Agnew, Sra.;;;;;;
JRR Tolkien;Christopher Tolkien (filho JRR);;;;;;
JRR Tolkien;Rayner Unwin (filho de Stanley);;;;;;
JRR Tolkien;Milton Waldman;;;;;;
JRR Tolkien;Gervase Mathew;;;;;;
JRR Tolkien;Stanley Unwin;;;;;;
JRR Tolkien;Rayner Unwin (filho de Stanley);;;;;;
JRR Tolkien;Willian Collins;;;;;;
JRR Tolkien;Milton Waldman;;;;;;
JRR Tolkien;Clyde Kilby;;;;;;
JRR Tolkien;Murphy, Padre;;;;;;
JRR Tolkien;George Sayers;;;;;;
JRR Tolkien;Rayner Unwin (filho de Stanley);;;;;;
JRR Tolkien;George Allen;Rayner Unwin (filho de Stanley);;;;;
JRR Tolkien;Charlotte Plimmer;Denis Oplimmer;;;;;
JRR Tolkien;Rayner Unwin (filho de Stanley);;;;;;
JRR Tolkien;Rayner Unwin (filho de Stanley);;;;;;
JRR Tolkien;Judith;;;;;;
JRR Tolkien;Donald Swann;;;;;;
JRR Tolkien;Simonne d´Ardenne;;;;;;
JRR Tolkien;Christopher Wiseman;;;;;;
JRR Tolkien;Christopher Tolkien (filho JRR);;;;;;
JRR Tolkien;John Tolkien (filho JRR);Hillary Tolkien (irmão JRR);;;;;
JRR Tolkien;Rayner Unwin (filho de Stanley);;;;;;
JRR Tolkien;Colin Hardie;;;;;;
JRR Tolkien;Denis Tolhurst;Jocelyn Tolhurst;;;;;
JRR Tolkien;Roger Lancelyn Green;;;;;;
Mabel (Suffield) Talkien (mae JRR);Francis Xavier Morgan (padre);JRR Tolkien;Hilary (irmao JRR);;;;
Mabel (Suffield) Talkien (mae JRR);JRR Tolkien;;;;;;
Mabel (Suffield) Talkien (mae JRR);May Incledon;Walter Incledon;;;;;
Mabel (Suffield) Talkien (mae JRR);Hilary (irmao JRR);Arthur Tolkien (pai JRR);JRR Tolkien;;;;
Mabel (Suffield) Talkien (mae JRR);JRR Tolkien;Hilary (irmao JRR);Mabel (Suffield) Talkien;Emily;Willian ;Edwin Neave;John Suffield (pai Mabel)
Mabel (Suffield) Talkien (mae JRR);Edwin Neave;Willian Suffield;;;;;
Mabel (Suffield) Talkien (mae JRR);Mary Tolkien;;;;;;
Mabel (Suffield) Talkien (mae JRR);May Incledon;JRR Tolkien;Hilary (irmao JRR);;;;
Murphy, Padre;JRR Tolkien;;;;;;
Nevill Coghil;Christopher Willians;Warren (Warmie);Hugo Dyson;;;;
Nevill Coghil;W.H. Anden;;;;;;
Nevill Coghil;Richard Burton;;;;;;
Padre Francis;May Incledon;Sra Till;;;;;
Rayner Unwin (filho de Stanley);Stanley Unwin;;;;;;
Roberto Harvard (Humprey);Hugo Dyson;JRR Tolkien;C.S.Lewis;Nevill Coghil;;;
Stanley Unwin;Edward Crankshaw;;;;;;
Stanley Unwin;Rayner Unwin (filho de Stanley);;;;;;
Stanley Unwin;Rayner Unwin (filho de Stanley);;;;;;
Susan Dagnall;Elaine Griffiths;JRR Tolkien;;;;;
Susan Dagnall;Stanley Unwin;;;;;;
Walter;Hilary (irmao JRR);;;;;;
Walter Incledon;May Incledon;JRR Tolkien;Hilary (irmao JRR);Mary (filha May);Marjorie (filha May);;
Williams;Warnie ???;;;;;;
Williams;Humprey (Dr Harvard);;;;;;
